order_id,customer_id,order_date,signup_date,product_name,category,price,quantity,discount,total_revenue,payment_method,status,country,city,age,device_type
ORD002193,CUST3038,2025-06-06,2024-07-20,iPhone 16 - Basic,Sports,93.83,1,0.08,86.3236,PayPal,Delivered,India,Paris,57.0,Mobile
ORD008978,CUST8539,2025-12-10,2025-07-08,Novel - Basic,Home & Garden,138.14,1,0.26,102.22359999999999,PayPal,Delivered,Brazil,Berlin,18.0,Desktop
ORD008470,CUST3211,2025-03-05,2024-10-13,Running Shoes - Basic,Electronics,61.01,1,0.02,59.7898,PayPal,Delivered,Germany,Sao Paulo,34.0,Mobile
ORD009575,CUST2815,2025-01-18,2024-10-24,Novel - Premium,Books,102.48,4,0.05,389.424,Bank Transfer,Delivered,Canada,London,32.0,Tablet
ORD009327,CUST2996,2025-06-29,2024-09-22,T-Shirt - Premium,Electronics,125.81,1,0.12,110.7128,Bank Transfer,Delivered,Germany,New York,31.0,Desktop
ORD004109,CUST4424,2025-11-28,2025-05-01,T-Shirt - Pro,Books,127.03,1,0.1,114.327,Bank Transfer,Pending,Brazil,Sydney,41.0,Mobile
ORD001304,CUST1974,2025-03-14,2025-01-29,Novel - Pro,Electronics,311.45,2,0.02,610.442,PayPal,Delivered,Australia,Mumbai,49.0,Tablet
ORD007300,CUST4807,2025-12-25,2025-05-10,Novel - Pro,Books,268.88,1,,201.66,Credit Card,Delivered,Germany,Berlin,47.0,Tablet
ORD001372,CUST7609,2025-07-12,2024-08-22,iPhone 16 - Pro,Electronics,143.29,2,0.1,257.92199999999997,PayPal,Delivered,UK,Sao Paulo,42.0,Mobile
ORD002876,CUST4189,2025-05-18,2025-01-03,Running Shoes - Pro,Fashion,176.12,2,0.21,278.2696,Cash,Pending,India,Mumbai,41.0,Mobile
ORD009279,CUST8505,2025-03-10,2024-06-30,Running Shoes - Premium,Electronics,213.62,2,,397.3332,Credit Card,Returned,Brazil,Mumbai,50.0,Desktop
ORD002570,CUST1639,2025-06-06,2024-10-14,Novel - Basic,Electronics,39.61,5,0.28,142.596,PayPal,Delivered,USA,Sydney,27.0,Desktop
ORD002427,CUST9232,2025-05-25,2024-06-03,Novel - Premium,Fashion,231.36,3,0.2,555.264,PayPal,Delivered,France,London,41.0,Tablet
ORD007143,CUST6910,2025-03-11,2024-07-25,Coffee Maker - Pro,Home & Garden,117.41,1,0.27,85.7093,PayPal,Pending,France,Sydney,,Mobile
ORD003497,CUST6589,2025-07-01,2025-02-03,Coffee Maker - Premium,Sports,80.28,3,0.27,175.8132,PayPal,Cancelled,India,Paris,23.0,Desktop
ORD002443,CUST8100,2025-01-17,2024-07-20,iPhone 16 - Basic,Sports,490.45,1,0.1,441.405,Bank Transfer,Delivered,Canada,Paris,37.0,Mobile
ORD000984,CUST2809,2025-06-02,2024-10-30,iPhone 16 - Basic,Fashion,22.28,2,0.29,31.6376,Bank Transfer,Delivered,Germany,Sydney,48.0,Desktop
ORD008113,CUST3670,2025-11-20,2025-05-11,Novel - Premium,Electronics,178.29,3,,524.1726,Credit Card,Pending,India,Mumbai,,Desktop
ORD008955,CUST7153,2025-01-27,2024-10-27,Running Shoes - Basic,Electronics,283.59,2,0.29,402.6978,PayPal,Cancelled,Australia,London,23.0,Mobile
ORD004524,CUST9342,2025-12-26,2025-03-05,iPhone 16 - Premium,Electronics,75.92,1,0.08,69.8464,Credit Card,Delivered,UK,New York,36.0,Mobile
ORD006672,CUST8685,2025-04-10,2024-04-21,Coffee Maker - Pro,Fashion,192.1,4,0.27,560.932,Bank Transfer,Cancelled,India,Toronto,48.0,Mobile
ORD007693,CUST2440,2025-01-07,2024-06-11,Running Shoes - Premium,Sports,165.36,3,0.2,396.86400000000003,Bank Transfer,Delivered,India,London,49.0,Mobile
ORD007533,CUST2969,2025-12-22,2025-06-28,T-Shirt - Premium,Fashion,183.09,3,0.18,450.4014,Bank Transfer,Delivered,Canada,New York,20.0,Mobile
ORD000925,CUST4008,2025-02-28,2025-01-04,Novel - Basic,Books,44.04,1,0.2,35.232,Bank Transfer,Delivered,USA,Sao Paulo,42.0,Mobile
ORD000216,CUST3111,2025-10-19,2025-01-05,Novel - Basic,Books,92.28,1,0.07,85.82039999999999,Cash,Returned,Germany,Paris,29.0,Desktop
ORD002784,CUST1839,2025-02-13,2024-07-15,T-Shirt - Pro,Electronics,138.5,1,,110.80000000000001,PayPal,Pending,Australia,Toronto,18.0,Mobile
ORD006787,CUST2440,2025-10-22,2025-08-10,Running Shoes - Premium,Fashion,697.1,6,0.05,3973.4700000000003,PayPal,Pending,Brazil,Toronto,35.0,Mobile
ORD002591,CUST5213,2025-03-29,2024-12-27,iPhone 16 - Pro,Books,244.06,1,0.16,205.0104,Credit Card,Delivered,India,New York,24.0,Mobile
ORD005003,CUST9705,2025-01-20,2024-07-19,Running Shoes - Pro,Home & Garden,101.03,1,0.13,87.8961,Credit Card,Returned,France,Mumbai,34.0,Desktop
ORD004504,CUST2317,2025-08-02,2025-04-16,Novel - Premium,Fashion,297.45,2,0.07,553.257,Credit Card,Delivered,USA,London,38.0,Mobile
ORD007125,CUST8937,2025-10-28,2025-09-06,Running Shoes - Pro,Fashion,807.58,3,0.09,2204.6934,PayPal,Pending,India,Berlin,27.0,Desktop
ORD002358,CUST1549,2025-08-01,2024-09-20,Novel - Pro,Books,112.03,1,0.19,90.74430000000001,Credit Card,Delivered,France,Mumbai,44.0,Tablet
ORD003676,CUST3237,2025-04-30,2025-02-12,Novel - Premium,Home & Garden,247.62,2,0.26,366.4776,Cash,Delivered,USA,London,50.0,
ORD008612,CUST4505,2025-01-25,2024-09-23,T-Shirt - Premium,Electronics,459.86,1,0.1,413.874,PayPal,Delivered,Australia,Sao Paulo,,Mobile
ORD009271,CUST3908,2025-06-18,2024-12-25,iPhone 16 - Pro,Fashion,173.79,3,0.23,401.4549,Credit Card,Pending,India,London,30.0,Desktop
ORD004612,CUST9935,2025-04-30,2024-09-21,Coffee Maker - Premium,Books,63.81,1,0.02,62.5338,Credit Card,Delivered,Brazil,Mumbai,30.0,Mobile
ORD000498,CUST8818,2025-08-15,2024-11-22,T-Shirt - Premium,Home & Garden,282.52,2,0.29,401.17839999999995,PayPal,Delivered,Canada,Sao Paulo,34.0,Desktop
ORD001866,CUST2801,2025-07-05,2024-12-28,iPhone 16 - Premium,Electronics,68.33,3,0.17,170.1417,Credit Card,Delivered,India,Sao Paulo,35.0,Mobile
ORD008887,CUST9236,2025-04-25,2025-03-06,Running Shoes - Basic,Fashion,185.65,3,0.01,551.3805,Credit Card,Delivered,USA,Paris,42.0,Mobile
ORD004795,CUST4991,2025-02-15,2025-01-09,iPhone 16 - Pro,Electronics,643.52,1,,456.89919999999995,PayPal,Returned,Germany,London,36.0,Desktop
ORD004712,CUST8476,2025-04-21,2024-09-17,iPhone 16 - Basic,Electronics,115.36,1,0.26,85.3664,PayPal,Delivered,Germany,London,26.0,Desktop
ORD007351,CUST8445,2025-01-28,2024-06-21,iPhone 16 - Basic,Books,760.18,4,0.1,2736.6479999999997,Credit Card,Delivered,Brazil,Sao Paulo,29.0,Mobile
ORD008715,CUST3529,2025-11-04,2024-11-26,Coffee Maker - Premium,Electronics,350.11,1,0.03,339.6067,Cash,Pending,France,Toronto,41.0,Mobile
ORD006436,CUST3985,2025-06-02,2024-10-09,Novel - Basic,Home & Garden,55.52,1,0.21,43.860800000000005,Credit Card,Delivered,Germany,Paris,22.0,Mobile
ORD001796,CUST5167,2025-03-17,2025-01-02,iPhone 16 - Pro,Books,93.6,1,0.24,71.136,PayPal,Delivered,India,Sydney,36.0,Mobile
ORD002307,CUST8813,2025-11-10,2025-01-28,Running Shoes - Basic,Fashion,249.36,3,0.12,658.3104000000001,Credit Card,Delivered,India,Sydney,25.0,Mobile
ORD004944,CUST5899,2025-04-02,2025-02-05,Novel - Pro,Fashion,97.01,7,0.18,556.8374000000001,Credit Card,Delivered,UK,Paris,37.0,Mobile
ORD001980,CUST1548,2025-01-22,2024-03-21,T-Shirt - Premium,Electronics,190.54,3,0.12,503.0256,Credit Card,Returned,India,Mumbai,40.0,Mobile
ORD006090,CUST7625,2025-09-12,2025-07-13,Running Shoes - Premium,Sports,760.88,3,0.03,2214.1607999999997,Credit Card,Delivered,India,New York,64.0,Mobile
ORD006819,CUST4716,2025-08-09,2025-03-21,Running Shoes - Pro,Fashion,138.43,3,0.19,336.3849,PayPal,Delivered,France,Sydney,,Desktop
ORD007604,CUST3632,2025-11-20,2025-04-16,Running Shoes - Pro,Fashion,157.2,1,0.3,110.03999999999999,Bank Transfer,Delivered,Germany,Sydney,21.0,Mobile
ORD001545,CUST2682,2025-01-23,2024-07-20,iPhone 16 - Basic,Fashion,164.31,2,0.06,308.9028,Credit Card,Delivered,Brazil,Paris,20.0,Mobile
ORD007432,CUST5461,2025-01-23,2024-03-18,Novel - Basic,Sports,18.66,2,0.19,30.229200000000002,PayPal,Cancelled,Canada,Paris,36.0,Desktop
